Doc_Id,Review,Cleaned Data,Sentimental Analysis
Review 11,"The movie affects you in a way that makes it physically painful to experience, but in a good way.",movi affect way make physic pain experi good way,Positive
Review 12,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",act cinematographi sound design script phenomenon movi triumph joaquin phoenix deserv oscar win th,Positive
Review 13,"Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways.",need say everyth movi wast everi singl way joke isn awesom comic book movi awesom movi period offer easi answer settl question rais cruel societi declin joaquin phoenix fulli commit perform told phillip wast albeit loo invent do sourc materi make joke film leav comic book fan nonfan alik disturb move right way,Positive
Review 14,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,stop watch move joaquin phoenix award oscar tremend act,Positive
Review 15,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong. I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie. What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!",quit reli critic review year ago notic movi critic rate low viewer rate high said point critic movi oh wrong went saw tone mon went skeptic w low expect knew expect typic super hero movi got masterpiec went expect sheer boredom instead edg seat whole time action edg seat fear may say next edg seat see charact evolv know 1 villain batman beyond geniu joaquin phoenix true master perfect art consum charact may place dont care movi stori act direct effect everyon brought game up definit deserv nod win role comparison jack nicholson heath ledger actor took charact differ level differ stori point differ point time comparison would feasibl fair actor embrac made come life geniu way,Neutral
Review 16,"I thought this film was good but I just don't get the hype personally. The acting was amazing and the film was good overall but I think 'masterpiece' and 'film of the year' are a bit overused throughout the reviews. In no way did I dislike this film, I thought it was really good, just overhyped. I feel as though a lot of the 10/10 reviews are purely based on the fact that it already has amazing reviews and so people want to carry the praise further and that it is about the joker. If this film was released and was about some random guy in the same situation, I don't think the reviews would be as high but maybe that's the point.",thought film good dont get hope person act amaz film good overal think masterpiec film year bit vers throughout review way dislik film thought realli good overhyp feel though lot 1010 review pure base fact alreadi amaz review peopl want carri prais joke film releas random guy situat dont think review would high mayb that point,Positive
Review 17,"I went into this film expecting an all-time classic based on the reviews I had read & what I ended up watching was just a decent film overall. Phoenix is outstanding...so he definitely did his part. But I feel like if you've seen the trailers you've seen the movie because the best way I can describe this film is it feels like a 2 hour version of the trailer. At 2 hours it's a relatively common runtime, but it felt a lot longer...which isn't good. I'd say this is much more of a rental than a theater movie. Kinda just....eh.",went film expect allie classic base review read end watch decent film overal phoenix outstand definit part feel like you seen trailer you seen movi best way describ film feel like 2 hour version trailer 2 hour rel common aunti felt lot longerwhich isn good id say much rental theater movi kind just,Negative
Review 18,"Do not really understand all the tens here. Sure, a good movie, good acting, nice shooting. But the plot is not so intriguing. At times it is really long and somewhat boring. I needed to double-check the genre to see if this is a drama or what. Crime, drama, thriller it said. I would put it maybe 90% in the drama and rest in thriller.

I miss more dialogue, more depth, more substance. The plot is really not more then a somewhat crazy person becoming a bit crazier. Sure there is an undertone in that it is society and the system and the mean character of people that is bringing him down and creating the evil beast which later wants to destroy everything. Absolutely, but I think it is not intriguing story and plot and dialogue enough to give this a ten.

Worthy of watching, yes. But not amazing",realli understand ten sure good movi good act nice shoot plot intrigu time realli long somewhat bore need doublecheck gene see drama crime drama thrill said would put mayb 90 drama rest thrill miss dialogu depth substanc plot realli somewhat crazi person becom bit brazier sure underton societi system mean charact peopl bring creat evil beast later want destroy everyth absolut think intrigu stori plot dialogu enough give ten worthi watch ye amaz,Negative
Review 19,"When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.

Before I continue writing, let me say this, This is NOT the film of the year nor is it a real masterpiece. The cinematography is excellent and the acting is incredible, that's just it. The side-characters are bland and overly dramatic. The plot heavily relies on plot-twists and the film is so harsh that it actually falls flat on it's face.

Are there no good points though? Phoenix is phenomenal and the score is great. The cinematography is also incredible but the plot is not that great at all. It even has plot holes and scenes that left me empty.

Film of the year? Nope.",heard everyon say film year review flood wa quit hope excit movi walk cinema felt hollow empti continu write let say film year real masterpiec cinematographi excel act incred that sidecharact bland overlay dramat plot heavili relief plottwist film harsh actual fall flat face good point though phoenix phenomenon score great cinematographi also incred plot great even plot hole scene left empti film year hope,Negative
Review 20,"Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both.",joaquin phoenix give heath ledger run money true stori popcorn fluff comic book flick take kiss see movi shut ballot oscar joaquin take one home hand one best origin stori ever put downsid movi stand alon film sequel tie do univers told philip take joke one pure brillianc joaquin phoenix joke deserv didn steal jack heath yet got tast,Positive
Review 21,"The recurring themes of so many of the 10 star reviews here should tell you a lot about this movie and its audience. If you can't get through a movie review without tossing in one or more claims that ""THIS movie is so much better and smarter than YOUR superhero movie"" (or even basing your entire review around this premise), then I hate to break it to you, but kid, you're nowhere near as intelligent and grown up as you think you are. This ""my comic publisher is better than yours"" BS should have been left behind on your grade school playground, it has absolutely no relevance to the quality of this movie, and your opinion of this movie should be considered highly suspect if you're in this group.

I gotta say, if this movie was also your idea of the most perfect film ever made, you really need to get out more. Look, I get it. If you live in a safe little box where all you watch are superhero movies and mainstream blockbusters then I understand how exposure to themes like this for the first time would seem new and exciting to you, and I think we can all agree that this is probably the best DC Comics related movie in the last decade or so (though that's not a high bar to meet) and of course Joaquin Phoenix is a very talented actor, but stop and take a step back and look at this thing.

Joker does indeed present a theme that is of importance to our society, that of the neglect and demonizing of the mentally ill to a degree that sometimes creates monsters which everyone around them should have seen coming a mile away if they hadn't been too busy looking away to avoid feeling uncomfortable. Unfortunately, reminding us all of the fact that this situation still exists is all this movie really has to say. It dances around important subjects like ""HEY KIDS, CLASS INEQUALITY!"", but then never offers any actual insight into them, usually because it's too busy making forced Batman references or dropping cringey little edgy moments like the ""Don't smile"" sign scene which seem to have been designed solely to have something for Hot Topic to print a new t-shirt of. Between that and every single plot twist being telegraphed so very far in advance because a lot of us have seen all these exact same twists so very many times before, I just wasn't impressed.

Perhaps if this had been an actual stand-alone movie of its own instead of being shackled by its completely unnecessary ties to the Batman universe it could have done something more interesting with its themes. Don't get me wrong, I don't have any problem with superhero movies, but it just feels so gratuitous here, as if someone came up with this idea, pitched it to an executive, and was told ""sounds great, but can you make it a Batman movie somehow?"", and I'm sorry, but I'm just not into a movie trying to tell me a half-hearted, yet dead-serious speech about mental illness in modern society while simultaneously constantly reminding me that it's technically a superhero movie because $$$",recur theme mani 10 star review tell lot movi audienc can get movi review without toss one claim movi much better smarter superhero movi even basin entir review around premis hate break kid your nowher near intellig grown think comic publish better is left behind grade school playground absolut relev qualiti movi opinion movi consid highli suspect your group gutta say movi also idea perfect film ever made realli need get look get live safe littl box watch superhero move mainstream blockbust understand exposur theme like first time would seem new excit think agre probabl best do comic relat movi last decad though that high bar meet cours joaquin phoenix talent actor stop take step back look thing joke inde present theme import societi neglect demon mental ill degre sometim creat monster everyon around seen come mile away hadn busi look away avoid feel uncomfort unfortun remind u fact situat still exist movi realli say danc around import subject like hey kiss class inequ never offer actual insight usual busi make forc batman refer drop cring littl edg moment like dont smile sign scene seem design sole someth hot topic print new shirt everi singl plot twist telegraph far advanc lot u seen exact twist mani time want impress perhap actual standalon movi instead shock complet unnecessari tie batman univers could done someth interest theme dont get wrong dont problem superhero move feel gratuit someon came idea pitch execut told sound great make batman movi somehow in sorri in movi tri tell hardheart yet deadseri speech mental ill modern societi simultan constantli remind technic superhero movi,Neutral
Review 22,If I could write just one word and say no more I'd say perfection!,could write one word say id say perfect,Positive
Review 23,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8.",music intens realism perform stori perfect combin everyth never felt charact like joke could real saw phoenix show u joke societi show u power obtain philip hand perfect choic music camera angl light everi import factor overal expect stori perfect mani shock turn happen realli repres today societi first screen would applaus 80 min 8,Positive
Review 24,"I was so hyped up to see this movie, loved the trailer, only movie I have wanted to watch in the cinema for a very long time.

I watched it and was bored. the aesthetics were amazing, music was good, story and execution was meh. the performance of the joker was a good performance but people raving about this are driving me mad. either you have not seen many movies or I have seen too many.

this movie was bang average and was actually boring. I was actually thinking about leaving half way through as I was bored out of my mind.

I do not regret watching it but it is being so overhyped that I am so confused right now. I think it had a good premise but could have been so much more, so much more.

Signs of a great movie is the repeat viewing of it or it moving you, joker did not move me whatsoever and I would not watch it again.

I thought maybe people are getting paid to write good review but have actually met people who think it is the best movie ever.... OMGGG

This movie is bang average and way overhyped.

phoenix performance is good but as the story and execution is so bad, I feel he never even touched the higher spectrum of performance he could have with the character.

I have experienced and seen worse in my life, if this made you feel, you are (i hate this word but have to use it) a snowflake. Please get off social media and live life.

there is a real world out there.",hope see movi love trailer movi want watch cinema long time watch bore aesthet amaz music good stori execut me perform joke good perform peopl rave drive mad either seen mani move seen mani movi bang averag actual bore actual think leav half way bore mind regret watch overhyp confus right think good premis could much much sign great movi repeat view move joke move whatsoev would watch thought mayb peopl get paid write good review actual met peopl think best movi ever ogg movi bang averag way overhyp phoenix perform good stori execut bad feel never even touch higher spectrum perform could charact experienc seen wors life made feel hate word use snowflak plea get social medium live life real world,Negative
Review 25,"BREAKING NEWS: Killer clowns are back! But this time they're not pranksters mimicking Pennywise to scare the sh*t out of people for viral memes; they're ""incels"" threatening to gun down everyone who chooses to take their date to this dour, depressing, demented movie.

If this Joker were the one featured in Nolan's marvelously entertaining Dark Knight, I doubt any of your skinny lonely drugged-up psychos would be rushing to hail this guy as his hero and inspiration.

Ledger's Joker is brilliant, manipulaitve, and consumed with an infectious, and sometimes charming, confidence. Phoenix's Joker is dumb, depressing, and insecure. Ledger makes things happen. Things happen to Phoenix. The Joker controls events in Dark Knight. Events spiral out of control in Joker.

There is no fun in this movie, no great action set pieces, no hint of hope or optimism. It's a two hour slog of watching a miserable man drive himself insane until he starts murdering people. Then seemingly everyone goes insane because ""they've had enough!""

Change the name of this movie to Arthur, eliminate the very few references to the Batman universe, and I doubt you'd think this was an origin story to the Joker we all know and love. Maybe this Joker is the closest to what the Joker would resemble in the real world...which is perhaps why this movie is so awful. Who wants that movie?

There are plenty of good character-driven films of mentally disturbed individuals who spiral out of control. There are plenty of good dark gritty super hero movies. This is neither of them.",break news killer clown back time there prankster mimick pennywis scare she peopl vital mete there inch threaten gun everyon choos take date your depress demand movi joke one featur plan marvel entertain dark knight doubt skinni lone druggedup psychic would rush hail guy hero inspir ledger joke brilliant manipul consum infecti sometim charm confid phoenix joke dumb depress insecur ledger make thing happen thing happen phoenix joke control event dark knight event spiral control joke fun movi great action set piec hint hope optim two hour slow watch miser man drive insan start murder peopl seemingli everyon goe insan they enough chang name movi arthur elimin refer batman univers doubt you think origin stori joke know love mayb joke closest joke would resembl real worldwhich perhap movi aw want movi plenti good characterdriven film mental disturb individu spiral control plenti good dark gritti super hero move neither,Negative
Review 26,"The perfect portrait of a decline to insanity"" & Joaquin Phoenix portrays this flawlessly in a performance of a lifetime. Choreographed impeccably by Todd Phillips & is nothing short of breathtaking. The cinematography & backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack & acting. A hauntingly beautiful film & A Definate 10/10. Edit: Bring on part 2 plssssss!. We all want it!.",perfect portrait declin insan joaquin phoenix portray fearlessli perform lifetim choreograph impecc told phillip noth short breathtak cinematographi backdrop ideolog origin film complex charact compliment superb soundtrack act hauntingli beauti film definit 1010 edit bring part 2 plssssss want,Positive
Review 27,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down.",phoenix convinc alway meant joke movi went beyond expect mani emot went coupl hour think rate r phoenix abl clock joke full psychic potenti charact meant amaz stori call mean build second movi mayb one batman hope high point nevertheless brilliant goddamn movi best joke ever play hand,Positive
Review 28,"The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it.",pool need money need digniti respect co take human dont money remind good boy like politician feel frustrat peopl lower class accept fund champion movi joke life begin get,Neutral
Review 29,"10/10 Amazing story, Brilliant taking, magnificent cinematography. Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care. Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker. I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight. Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors. Definitely a top contender for Oscars. I personally think it would take away 1.Best Actor 2.Cinematography 3.Original score and if Once Upon a time in Hollywood loses in Make-up and hairstyling category it would definitely be to The Joker.",1010 amaz stori brilliant take magnific cinematographi someon step safe game play superhero move joke movi also boy movi gritti real insan dark sometim quit disturb peopl dont want accept what shown movi terribl realiti face everyday refus proper care normal peopl start compar movi one greatest like dark knight act wise heath ledger betray joke wouldn say movi better otherwis stand tall amongst greatest like godfath taxi driver citizen lane dark knight come inevit comparison who better joke heath joaquin answer phenomenon job joke charact fortun play two greatest actor definit top contend scar person think would take away best actor 2cinematographi origin score upon time hollywood lose make hairstyl categori would definit joke,Neutral
Review 30,"I thought this movie was complete and utter garbage. I don't understand why people liked this movie so much. The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem... Hated it",thought movi complet utter garag dont understand peopl like movi much charact doesn even stay true comic director flat said didn made seem like part gotham fall littl boy laugh problem hate,Negative
Review 31,"I was expecting a masterpiece and oscar worthy film from all the hype. I actually didn't enjoy watching this movie. there was no message, it was slow and the joker turned out just to be the son of a schizophrenic and went crazy over a slight amount of bullying. I don't see how anyone could relate to this character and the laughing is lame acting way overdone. I'm just stunned that this has a 9/10 rating right now, how the hell?",expect masterpiec oscar worthi film hope actual didn enjoy watch movi messag slow joke turn son schizophren went crazi slight amount build dont see anyon could relat charact laugh lame act way everyon in stun 910 rate right hell,Negative
Review 32,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don't need CGI super powers to be a great villain in a Superhero movie. Is a joke not everyone gets. This movie is ""the rise of the Joker!"" 10/10",joaquin portray sociopath mental unstabl man transform iron joke non grip accur realist touch condit dark disturb charact piec led oscar worthi perform joaquin phoenix realli feel bad guy make heartbreak inevit becom clown princ crime know love although were never seen like see suffer throughout movi point almost foot him becom mass murder psyco clown least make feel better happen wish could avoid e miss feel care time he joke wish could help there lot great nod greater batman univers yet movi self contain charact piec mark great movi act great plot similar taxi driver brilliant qualiti movi show dont need chi super power great villain superhero movi joke everyon get movi rise joke 1010,Positive
Review 33,One of the best movies in these few years and 100% Oscar worthy Joaquin Phoenix delivers one of the best performances I've ever scene,one best move year 100 oscar worthi joaquin phoenix deliv one best perform give ever scene,Positive
Review 34,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time",serious unbeliev dare say better heath ledger joaquin phoenix doesn win oscar best actor joke doesn win least best screenplay one biggest oscar snub time,Positive
Review 35,"This movie answers this question...what will the Joker be if he was a real life character ? A great deep and moving story, a life journey of a man who's suffering from some psychological issues and how neglect, bullying and rudeness by other human being can push a man to complete madness.

Although it's not accurate to any comic book adaptation or any TV series or movie before it, yet it's a fresh and unique take on the character of the clown prince of crime from a realistic approach and I believe with Joaquin Phoenix amazing performance as the Joker in which he managed to bring a real life look-alike early version of the Joker which although is not comic book accurate but I feel it's a very decent foundation for Joker 2 which should be more true to heart of the original version of our lovable villain.

The movie is over all a great piece of filmmaking in all of its aspects. From the plot which was very interesting, believable and many can relate to it, through the acting which was impressively splendid to the directing which was outstanding. My main take on the movie is the lack of any positive lead character, I know we live in a tough world which full of negativity but there are some positive examples here and there and to shed some light on one or two characters in this movie would've been a nice positive thought.

The Joker movie can be misunderstood by many thinking it'll inspire crime and violence but I believe on the contrary that many who go through hard life will feel sympathy for the Joker character, others will even relate to his misery and may justify his actions. I believe the movie is meant to be a wake up call for many! A lot of people daily suffer from bullying, racism, hate crimes or neglect and sometimes they go through worse, we should take a deeper look at our actions and know that - aside from money and authority - we are all equally humans, we should treat one another the same way we expect to be treated.",movi answer questionwhat joke real life charact great deep move stori life journey man who suffer psycholog issu neglect build rude human push man complet mad although accur comic book adapt to seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joke manag bring real life lookalik earli version joke although comic book accur feel decent foundat joke 2 true heart origin version movabl villain movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full nativ posit exampl shed light one two charact movi would nice posit thought joke movi misunderstood mani think till inspir crime violenc believ contrari mani go hard life feel sympathi joke charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer build racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat,Neutral
