,review_content
10,"Watched the IMAX version! Best solo since Iron Man (2008)! I had no expectations of this before. But the movie is much more lively. Enjoyed every moment. And also very engaging from start to finish. A kinda Cute-Action movie with some fun stuff!This is the first movie that focuses more on martial arts than Marvel's superpower thing. Love to see a mix of Marvel's MASTER-LEVEL-CGI with Martial art. Kung-Fu with this kind of visual effect! Marvel nailed it again.I've always loved Marvel's casting. Katy is too perfect for her role. Loved her chemistry with Shaun. Also laughed out loud at her childish stuffs.Just one thing, not a big deal, the action scene of 'Dragon Riding' doesn't fit into the usual Marvel movie. But as Chinese flavor, it is OK. Except for this, the cinematography and VFX are a lot mesmerizing!"
11,"Shang-Chi is a boring film. The characters were okay, but the story was choppy and confusing. The song choices were odd. Plus, this movie was way too long. And the scene at the end had me practically falling asleep."
12,"Simple as that, it's worth watching. Luckily I had Subtitles on for the Chinese speaking parts, and that helped, especially at the start of the movie (about 10 minutes). Don't forget the end credit scene at 2:01:46."
13,"Let's agree that it is a bad movie from multiple points of view. It depends a lot on the visual effects, its main characters can be funny but not nice, the story does not generate much interest and we have seen the fights many times and in a better way in almost any film produced in Hong Kong, Indonesia or Thailand of the last twenty years. The only thing that saves this film is the karaoke scene that is unexpectedly welcome. The rest is routine, mediocre, tiring and bland."
14,"Shaun (Simu Liu) and Katy (Awkwafina) are slackers in San Francisco. Well, they're Chinese slackers which means that they still have jobs. They're just dead-end jobs. Unbeknownst to Katy, Shaun's real name is Shang-Chi and he was trained from childhood to fight by his father Xu Wenwu (Tony Chiu-Wai Leung) who has been conquering for a thousand years with the Ten Rings until he met the love of his life, Shang-Chi's mother.This is MCU doing an Asian hero and it's actually pretty funny. Awkwafina does her comedic thing. Simu Liu does a good every-man performance but he's also a good straight man to Awkwafina. I like the pairing although they may be better as friends. Then the movie surprises with a comedic turn from Ben Kingsley. I love that part which gave the movie a comedic jolt. I wouldn't mind him popping up in other MCU stuff. The dragon fight is a little blah but those climatic battles are getting standardized anyways. This is a fine addition to the MCU and these are fun characters to add to the gang."
15,"It was an okay movie. Simu Liu is the son of the seemingly immortal master of the Ten Rings --always good to see Tony Leung, and I hope he soaked Disney --who winds up opposing his dad, and Awkwafina is his slacker sort-of girlfriend. They are fine in the leads, as is Meng'er Zhang as his sister, and Michelle Yeoh as their aunt -- always good to see her, and I hope she soaked Disney too.I have grown increasingly fond of martial arts films over the last couple of decades, and the decline of the movie musical is the reason why. They don't make movies like that any more, and when they try, they're often embarrassing. People don't like the unreality of people bursting out into song, or expressing their emotions through dance. No, they prefer the solid commonplace of people floating through space to kick each other in the head. To me, the fight choreography is its own dance, and the fight between Leung and Fala Chen when they meet and before they fall in love is a challenge dance as graceful as any between Astaire and Rogers.There are problems aplenty with this film. There's an immense amount of exposition, starting off with twenty minutes of it in Chinese. I'm not sure why Ben Kingsley as the fake 'Mandarin' from IRON MAN 3 is present except for a certain remnant of star power and connecting this to the rest of the MCU. Still, with my expectations not set particularly high, I had a good time."
16,"Really entertaining movie. Actors were great Simu Liu brought it big time he is excellent as the main character. Awkwafina is hilarious and I wish she had more screen time. As far as Marvel movies goes, it's not the best one but still very good."
17,"I've said this before about Marvel movies: they are a victim of their own success. ""Shang-Chi"" had to follow up a decade and a half of quality MCU movies, so the same movie that would've been a smash 10 years ago isn't viewed quite the same today. The movie was good, but it failed to really separate itself.""The Legend of Ten Rings"" as a title already sounds too much like LOTR. And in fact it was something like it in that he with the rings had the power. Xu Wenwu (Tony Leung) had the ten rings which gave him near omnipotence. With the ten rings he could defeat entire armies and live forever. He decided to use the rings to become a tyrant.He was willing to put his rings aside and grow old for the love of his life, a woman he found after living 1000 years. I thought it was a bit strange that it took the man 1000 years to find his true love, but I didn't dwell on it.Stranger than him taking a thousand years to find his true love was the woman who fell in love with him. She lived in a secret magical village in Macao that was totally isolated from the rest of the world. She was a gentle benign character who had powers herself and was able to defeat Wenwu when he came to essentially conquer her village. Somehow, through their Crouching Tiger, Hidden Dragon-esque battle they fell in love. Maybe that makes sense for him being that he finally found someone who could defeat him, but it didn't make sense for this nearly pure woman to fall for a man with a 1000 year history of tyranny.Still, they wed, forsook their powers and started a family.Their family would be unceremoniously destroyed when an old foe of Wenwu--a vicious gang--came by their house to get their pound of flesh and killed Wenwu's wife, Li (Fala Chen). Li could've attempted to barter with them for some sort of material exchange for their past losses, but instead she immediately decided she'd try to fight the entire gang and lost her life in the process. That would cause Wenwu to don the ten rings again and return to tyranny.So, if you're keeping score on Wenwu's wife, 1.) she was smitten with a man who came to destroy her village and 2.) she chose to fight an entire gang with no powers to speak of and with no attempts to negotiate.I recognize that it was a plot device to advance the plot, but it could've been done a lot better and with more tact. Her character never struck me as someone impulsive and/or not able to judge character yet she exhibited both flaws.Most of what I've covered was garnered throughout the movie via flashbacks. The real main character was Saun aka Shang-Chi (Simu Liu). He was the son of Wenwu and Li. Years later we see an adult Saun. He lives in SF and is a valet. He is violently thrust back into the life he ran away from when his father's goons came for the pendant around his neck given to him by his mother. It was at this point we learned his backstory, of which I've given some already. We find out he also has a sister, Xialing (Meng'er Zhang), who Disney not so subtly informed us she had to train herself to become a fierce warrior because of her gender. The two of them had been split up for close to twenty years when Saun ran away after being trained to be an assassin by his father. He was fourteen at the time and she was ten when he promised her he'd be back. He never came back and when they met again in Macao as adults she held the same ten-year-old bitterness against him for running away as though a fourteen-year-old should've been more reliable. She greeted him with a butt-kicking that was twenty years in the making. It's clear that it never crossed her mind that he may have been killed, or maybe she would've considered his death a betrayal as well. Either way it was a completely childish way to handle reuniting with your long lost brother.The two of them would join forces along with Saun's friend Katy (Awkwafina) and really quickly to stop their father. He was going to use the ten rings to breach a portal to another dimension which contained some soul-sucking demons.The introduction of demons to the movie did offer some excitement. It upped the stakes of everyone involved and thrust another Marvel character into the role of saving the world.Saun would save the world with the help of his friends and family. Some would die, but the most important characters lived. I was somewhat satisfied with the movie. The acting was commendable and Awkwafina was good as the comic relief. ""Shang-Chi"" may just be the placement of a singular brick to build to something bigger, I just hope what Marvel is building towards is worth it."
18,"Martial arts meets the MCU in Shang-Chi and the Legend of the Ten Rings. More Crouching Tiger than Jackie Chan, the plot for the film is kinda hum-drum, the sort of mystical Eastern fantasy cobblers that practically writes itself.Shang-Chi is the son of immortal, power-hungry warlord Xu Wenwu (Tony Chiu-Wai Leung) and Li (Fala Chen), a warrior woman from the hidden village of Ta Lo. After falling in love with Li and becoming a father, Wenwu gives up his wicked ways and packs away the ten legendary rings that gave him much of his power. However, after his wife is killed by his old enemies, Wenwu once again wears the rings and trains his son to become an assassin. Ashamed of what he has become, Shang-Chi goes into hiding in America and becomes Shaun (Simu Liu), but his past eventually catches up with him when his father sends his army, The Ten Rings, to steal the pendants given to him and his sister Xialing (Meng'er Zhang) by their mother. Wenwu requires both pendants to reveal the way to Ta Lo, where he believes that his wife is being held captive by her people.This Marvel movie is at its most fun before the plot starts to get in the way and the CGI becomes too overbearing and intrusive: the early fight scenes - a battle on a runaway bus against a henchman known as Razor Fist, and a fight on some high-rise bamboo scaffolding - deliver lots of impressively choreographed action that will please both martial arts fans and superhero addicts. Awkwafina, as Shang-Chi's loyal friend Katy, provides some comic relief, but also gets stuck in with the action.Unfortunately, the film quickly goes downhill after the good guys make their way to Ta Lo, with a little help from Tony Slattery (see Iron Man 3) and a furry winged creature with no face. The inevitable battle between the villagers and Wenwu's army is typical overblown Marvel mayhem, but the massive CGI tsunami arrives when Wenwu opens the inter-dimensional gate that he thinks is holding Li prisoner: instead of releasing his wife, he frees a swarm of flying tentacled soul-suckers and their big bad boss The Dweller. Fortunately for the Ta Lo people, they have a massive magical dragon on their side, which wakes up and adds to the digital whizz-bangery.As technically impressive as the special effects are, I found the second half of the film visually overwhelming yet remarkably uninvolving - a whirlwind of pixels and noisy action without much substance.5/10. It was nice to see HK/Chinese stars Michelle Yeoh, Tony Leung and Yuen Wah together in a Marvel movie; I just wish it had been a better one."
19,"It had potential but marvel has this tendency of degrading everything into mindless comedy...Things just happen, to an extent where Awkwafina is now an avenger...
I'm getting too old for this s#.t.."
20,"As far as visuals go, this movie is amazing... like just about as impressive as Dune, it's filled to the brim with eye-candy.The plot/story however is mediocre and filled with plot holes... the characters' actions are often unrealistic and they will often just 'stare in awe' at their friends being killed, instead of doing the realistic thing, and immediately defending their friends... it's something that happens like 5 times and honestly spoils the movie for me.... if characters in a movie don't act or react realistically and stare at something like a braindead zombie (like their friends getting killed right in front of them, whilst they are holding a gun in their freeking hands), then it's just really terrible script/plot writing.Overall, the movie isn't as bad as Ant-Man 2 but it's not far behind. Also, Awkwafina's acting style was already old by the 2nd movie she did... ALL of her characters in movies are the same person, and like I said, it got boring after the 2nd movie. I roll my eyes at everything Awkwafina's character does in the movie.It's a 5/10 movie, not really worth a watch unless you're a real die-hard Marvel fan."
21,"This was just a lot of fun. The story wasn't as tight as it could have been, but I found myself enjoying the whole movie regardless. The fight choreography was bangin', and all the action was just very well directed. Everything felt purposeful and exhilarating. The beginning of the movie feels like a straight-up martial arts movie and then as it progresses we get more and more fantasy elements working their way in which felt like a nice contrast. The music definitely felt like it added a lot here. I kept being reminded of how mixing different elements in with the more traditional orchestrated sounds really worked for Black Panther's soundtrack, and I honestly think this film did it even better. I think that, all in all, this is probably the best thing Marvel has produced since Endgame."
22,"I liked the first half of this film and I thought it was a fine addition to the Marvel Cinematic Universe. The backstory with the father and the mother was a nice wuxia inspiration and a cool way of introducing the Chinese theme to Marvel. The protagonist and Awkwafina had a believable friendship that struggled to balance enjoyment with living up to expectations. The tensed family relationship was a great focus as the father's gravity and charisma almost matched that of Thanos and feels like a truly deep human being. Throughout, the fight choreography was amazing, especially the bus scene.The second half was an obligatory CGI mess that takes the focus away from the family relationship. The epic legendary city of Ta Lo (Chinese version of Wakanda) is about thirty people living in a wooden village. That's all that stands between the world and a world-destroying demon, apparently. The hyped up final battle involves about ten soldiers with tasers. Wasn't the Ten Rings supposed to be a world-spanning empire? The fight between the dragons was so fast-paced that I couldn't tell what was going on.That said, there are flaws that occur in both of the halves. The Ten Rings (the organisation) is very vague in its nature and impact. Why are they so feared? How have they taken over the world? What are they capable of? Show, don't tell! The Ten Rings (the artifacts) don't seem to do much beyond flying around and projecting energy. This is cool, but it seems like a step down from other cosmic jewellery and probably didn't deserve the praise in the post-credit scenes.P. S. Trevor and Morris were definitely highlights of the film! Keep this up, Marvel!"
23,"I really liked that the actors spoke their native language, Mandarin, because it would've felt too Americanized otherwise. But there was something unfinished about this movie and I'm not sure what it is. The pacing was alright, a little too slow or fast at times, and as far as storylines go, it was not as exciting as I thought it would be. The fight scenes were great though, especially the final grand battle scene."
24,"A -BIG- Screen Mini Review. Viewed Sept. 05, 2021.______________________________________________________Katy : ""That's fine...... you can just explain on the plane"". { This is said by her to Shaun a.k.a Shang-Chi, marking a ""sudden and unexpected"" twist of events }.______________________________________________________1. "" So -{ MANY }- Upsides : ""Crouching Tiger, Hidden MARVEL"" { Gosh . . . . where do I even start❓} "" : Ang Lee's circa 2000 quasi-mystical Martial arts spectacular is the -Very- first film that came to my mind whilst watching a certain beautifully -{ ' Atmospheric ' }- segment of the opening-act of 'Shang-Chi And The Legend Of The Ten Rings' ( ""Shang Chi"" for short ) . . . . you'll know it -Immediately- upon seeing it . . . . featuring the ""ever-amazing"" Malaysian Mega Star Michelle Yeoh ; who of course was one of the -Principal- characters in 'Crouching Tiger, Hidden Dragon', -As well- . { FYI : this is by no means intended to be a spoiler ; -several- of the movie's -official- teasers & trailers 'gallantly' feature the said scene, albeit briefly }. And what's more ...( trailers also )... if you're someone with 'even the slightest bit' of true passion for all things within the realm of sheer cinematic -{ FANTASY 🌠 }- , then you'll be absolutely -delighted- to know that Shang Chi -Also- has a distinct 'Harry Potter' aspect to it . . . & if even -that's- not enough for you . . . Then, get this, its got a 'full-blown dollop of Narnia' thrown in there for good measure, at that. To be -Really- honest, it felt a bit disorienting , -At First- , seeing all ""those types of elements"" in an 'MCU' ( 'Marvel Cinematic Universe' ) picture, but then I suddenly realized that 'Infinity War' -And- 'Endgame' both -Very- prominently feature, well ...{ a walking, -""Talking""- demolition derby of a, err, -""Raccoon""- }... in them, & I began to feel at home again, pretty darn quick.2. "" There -Is- One 'Stark' Downside, Alas . . . . The MCU has had -{ WAY }- Too Much ""Muddled & Obfuscatory"" Messaging Vis-a-vis 'The Ten Rings', Over The Years "" : In 2008's -superbly- received { and completely -iconic- } 'Ironman', which is where we were all introduced to the bespoke militant organization, ( 'TTR' for short ), for the -Very- first time . . . . there is an ""Explicit And Unequivocal"" reference to the film's ( initial ) setting as being sometime within the USA's long 'War In Afghanistan', ( where the -Official- state religion is Islam ). Hence, by -{ EXTENSION 💡 }- , there is the correspondingly ""Glaring"", ( although tad more ""Implicit"" ), suggestion that TTR is . . . . . { from the immediately apparent ethnic backgrounds of the mostly Urdu & Arabic speaking members portrayed, to the group's visually -Distinctive- flag, right down to the undeniably frightening 'Imminent-Beheading' type video featuring a thoroughly bruised & bloodied Tony Stark as its centerpiece ( all too reminiscent of the -Horribly- tragic & bloodcurdling news stories that we've been, sadly, accustomed to reading about, hearing about and watching over the years ) } . . . . . 'yet another' archetypal, classic ""Islamist-fundamentalist"" type group. When in fact, as is -Strongly- conveyed to us in -This- particular picture, ( beginning all the way with the trailers itself ), that this is simply -{ Not }- the case. The said militant group does, of course, turn out to be, ( at its very 'Core' ), & by way of, this, its Origins-Story ; ""Not Arab Or Middle Eastern -At All-"" , but in fact . . . . -{ "" 100% CHINESE "" }- . Certainly very confusing, -especially- for the majority of us, who -haven't- read any 'Mandarin vs. Shang-Chi' comics . . . . Go Figure 🤷‍♂️ 🤔 ."" Final Analysis "" : -{ If }- you can get yourself to basically -Overlook- the aforementioned, & ""Legitimate Inconsistencies"" pertaining to Marvel's cinematic representation of its Ten Rings Organization, then . . . . -Yes- , for the most part at least, you -{ Should }- believe all the ""Rave Reviews"" that this 'Utter Delight Of A Movie' has -already- garnered, 'Globally'. A -Huge- Shoutout to its 'rookie' ( -relatively speaking- ) Director 'Destin Daniel Cretton', who""s been able to achieve this feat with, get this, just his -""5th""- Directorial-venture . . . Ever 👏 . What started as a humble yet impassioned little comic book effort about 10 very magical, & { Phenomenally Empowered Alien ""MAKLUAN"" Rings } . . . By the ""Truly-Legendary"" Stan Lee & Don Heck in Feb. 1964 ( ""Tales Of Suspense, No.50"" ) . . . Has now become the supremely enthralling ""Fresh New Face"" of Marvel's 'BOLD NEW ERA' { that started with 'Phase Four' }. The film's 'Star' is newcomer Simu Liu, whose portrayal of the outwardly nerdy-seeming yet immensely likeable 'Shaun' works wonderfully { not to mention all his ( "" Super 😉 "" )-impressive Kung Fu skills, of course }, with his ever-jocular best companion 'Katy', ( Awkwafina ), showing an absolute -ton- of heart, courage, & most of all, -{ "" Fierce "" }- Loyalty, throughout. Tony Leung, Meng'er Zhang, Fala Chen, Michelle Yeoh, & of course Shang-Chi's Big, Fun, ""Open-Surprise"" .....the 'one & only' Ben Kingsley.... perform their respective roles with -{ "" Panache "" }- . So, all told, it's going to be "" A Completely Charmed, Fiery 9.50 Marks Out 10 From Me . . . . ROCK ON, MARVEL 👊 🔥❗"" ."
25,"You could be mistaken for reading the title and thinking I was being sarcastic.Thankfully,I'm not. Just wow. I've been longing for that wow factor from the cinema since cinemas have reopened and this film gave me everything I wanted.Take away the fact that I am biased towards Marvel movies (guilty) this however is just a fanboy loving that Marvel have delivered once again, by that I mean top tier movies in the realms of Black Panther, Thor 3, GOTG, Infinity wars, Spider-Man just to name a few.From not having any major comic runs, to coming to our screens with this is jaw dropping movie, I can only show nothing but pure joy. From the culture, the mythical folklore, the mix of past/present and let's not forget the secret garden this film expands on the Marvel universe once again with an even deeper history.This film gave me real belly laughs, real emotional moment, a fantastic soundtrack to match this is a genuine winner for this year and Spider-Man may have his hands full beating what I can only describe as the best introduction to a unknown character since BP/GOTG. Shang-Chi needs to be a new staple in the Marvel franchise with new stories moving forward. Not to mention that fantastic performance from Simu Liu which has genuinely made me yearn for more of his portrayal!What an absolute treat and I've only watched it twice with a third viewing feeing more needed as the days go on.5 star all day, every day. Bravo!"
26,To see Sir Ben Kingsley reprise his role as comedy relief for a movie that already has us suffering through another Awkafina performance is sad and redundant. This is what happens when Disney and Marvel try too hard to find a path forward after Endgame. The Asian theme is new but the vague attempts to tie the movie to the MCU smack of desperation. This is just not a good movie. A lot of expensive visuals but that does not make a movie good. Lots of narrative and exposition to explain the visuals but that does not make the movie good or interesting. I understand that it is show business and this movie was made to make money but if I hadn't been lucky enough to watch it on Disney+ I would feel cheated.
27,This is the worst marvel movie I have seen to date.after seeing the movie I was honestly surprised by all the high ratings. Did we watch the same thing? The movie is without a soul. Characters aren't build up enough even with a 2 hour run time. The movie literally got nothing to do with the ten rings. Movie became Godzilla vs King Kong at the end. Waste of 2 hours. Honestly clueless why people high praised for this movie. What a waste of opportunity to create a wonderful and authentic world for Asian marvel universe.
28,"Ben Kingsley won this movie. And it was not particularly close. Probably the stunt coordinator came in a distant second? Anyway, I did laugh quite a bit, and the fight scenes were better than your average Marvel film...but not everything was better than average. Most of it was just about average, actually. Special effects: average. Characterization: average. Plot twists: average. I still enjoyed myself, and still appreciated Marvel transforming an exploitative property into something culturally rich. But the diminishing returns of Marvel joints continues."
29,"....and that's at least the minimum you'd want from this type of action film. And that bus scene, whhooo! I also loved the mixture of languages in some scenes (I don't have a problem with subtitles). All of the leads are well cast, as are several supporting characters, and the script is pretty tight."
30,"What a great flick. The action was amazing throughout, constantly growing and changing so the fights never got boring. Awkwafina is a favourite of mine and did a great job. Family relationships really do make the most compelling of stories. We got an Antagonist that had a tragic and understandable story, he never felt 1 dimensional like so many other hero rising villains."
31,This film is a love letter to Asia. The creatures the atmosphere the fights. They really took their time with this. Many people complain about final fight but if you watch anime or know of anime you should know better.
32,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.I plan on seeing this again, just to understand a few bits a little more.Go and watch it, you'll love it, 9/10."
33,"I've watched this movie twice so far and I thought I'd enjoy it less on the rewatch, but I found it just as good.Shang-Chi and the Legend of the Ten Rings is a very epic introduction to this character and keeps you invested in his origin story. While it's definitely not the most original story, they do a good job at making the character relatable enough to keep you emotionally invested.Awkwafina was a nice addition to the movie and while some of her jokes were pretty corny, they still made me laugh (even on rewatch).The highlights of the movie are definitely the bus scene near the beginning and the final beautiful action sequence. But all the action in general in this movie is pretty amazing.While it has a different vibe than most MCU movies, the formula is definitely still there. This isn't necessarily a bad thing, but it would have been nice for this movie to have a bit more of a unique story.Otherwise this is a stunning cinema experience, and even watching at home it will make you feel like you're in a movie theatre. Definitely recommend!"
34,"Shang-Chi and the Legend of the Ten Rings takes place some time after Avengers Endgame is the beginning of phase four of the marvel cinematic universe.Shang-Chi is an alright movie. It has some great fight scenes with some incredible fight choreography and epic large-scale battles. It is also has some good comedic scenes that made me laugh a couple of times. Where Shang-Chi suffers is when it comes to the plot. I didn't find the story very compelling and I didn't get that attached to the characters. It's a story that I feel has been done many times before.Shang-Chi wasn't for me but it's comedy and fight scenes make up for some of it's flaws. If you are familiar with the Marvel franchise I assume you somewhat know what to expect and for you I can recommend it. Although the movie isn't that great, I still think it's good enough to the point of where it's worth watching just to keep up with the larger plot of the MCU. For those not invested in the MCU, I don't believe that this movie is the one you should start with."
35,Nice mixture of marvel universe and eastasian movie art. Great fight scenes and special effects.Lovable characters and a good story. And the dragon was just cool.
36,"As far as Marvel being a fantasy film they generally like to be grounded in reality of history of the world and the current setting... but this one is really really going into the fantasy setting of parallel universes of Chinese myth. So for me it kinda felt totally fantastical and not really connected to any of the other Marvel universe.The fight and chorography of the action scenes is impressive and entertaining and if a movie could be watched on that basis alone then this would do the job - unfortunately for Shang Chi you actually need a compelling story with interesting characters.... but what we got was the MASSIVELY overdone .. evil father and son who seeks redemption arc... other supporting characters were pretty much all one dimensional - either good or bad, black or white.I also felt that Samuel Liu was miscast in the main role... If Donnie Yen was younger he probably would have done a better job. Samuel just does not have the screen presence.Its entertaining for the kids but I think the adults will be bored."
37,"I'll start by saying that if you're looking for a great story, you'll be disappointed. Shang-Chi is a pretty standard hero's journey at its core, which is a shame because the story could have been inspired by House of Flying Daggers and other wuxia titles.So why a rating so high? Because where the story falls, everything else excels.Shang-Chi is visually spectacular and a real treat for the eyes with some visuals that are incredibly distinct for the MCU. In regards to aesthetics, Black Panther walked so Shang-Chi could run a marathon.The fight scenes are all amazing. There's one weak fight, but it's meant to be weak, and they're all very long, which is great to see. One of the early ones went on for a solid 5 - 10 minutes, which was unexpected but far from disappointing.The first actual fight scene is my favourite in the MCU, and I was worried none of the others would top it, but they were all delightful to watch, and I was so glad they did a parallel of it later on. Either way, the writers went hard on the fight scenes and that paid off.In summary, the story is lacking, but I'm glad in a way because that allowed everything else to shine. And shine, it did. I hope future directors take lessons from the aesthetics and choreography of Shang-Chi."
